method,backbone,task,accuracy_mean,accuracy_std,wall_clock_s_mean,wall_clock_s_std,peak_mem_gb_mean,peak_mem_gb_std,trainable_pct_mean,energy_kwh_mean,energy_kwh_std,carbon_kgco2eq_mean,carbon_kgco2eq_std,cost_usd_mean,n_seeds,perf_per_kwh,perf_per_carbon
full_ft,tiny,classification,0.9122,0.011688883607941344,222.76999999999998,0.4948737212663669,13.478333333333333,0.0028867513459490926,1.0,0.00382,1.5620499351813347e-05,0.0024826666666666664,1.0115993936995829e-05,0.022099999999999998,3,238.79574900634844,367.4273493176628
lisa,medium,classification,0.48889999999999995,0.03422908120297707,636.33,7.170753098524599,14.883333333333333,0.06035174672976194,2e-06,0.011242,0.0001559070235749509,0.007307333333333333,0.00010153488727197827,0.06323333333333332,3,43.488699209331145,66.90538268788667
lisa,small,classification,0.6122333333333333,0.09008309127318692,467.9066666666667,6.058104764143077,9.428666666666667,0.09565737469392209,4e-06,0.008326666666666666,9.888039913619599e-05,0.005412333333333334,6.423654204059669e-05,0.04650000000000001,3,73.526812626884,113.11816595710424
lisa,tiny,classification,0.5089,0.016450835845026244,182.87,2.6282884164413876,4.838,0.04877499359302876,4e-06,0.003243666666666667,5.2003205029433796e-05,0.002108333333333333,3.385754470326148e-05,0.018166666666666664,3,156.89030205827703,241.37537958480024
