method,backbone,task,accuracy_mean,accuracy_std,wall_clock_s_mean,wall_clock_s_std,peak_mem_gb_mean,peak_mem_gb_std,trainable_pct_mean,energy_kwh_mean,energy_kwh_std,carbon_kgco2eq_mean,carbon_kgco2eq_std,cost_usd_mean,n_seeds,perf_per_kwh,perf_per_carbon,score_balanced,score_accuracy_first,score_carbon_constrained,score_balanced_mean,gei,gei_ref_method,gei_balanced
lisa,medium,classification,0.4888999999999999,0.034229081202977,636.33,7.170753098524599,14.883333333333333,0.0603517467297619,2e-06,0.011242,0.0001559070235749,0.0073073333333333,0.0001015348872719,0.0632333333333333,3,43.488699209331145,66.90538268788667,0.0,0.0,0.0,0.0,0.7510831428997179,lisa,0.7510831428997179
lisa,small,classification,0.6122333333333333,0.0900830912731869,467.9066666666667,6.058104764143077,9.428666666666668,0.095657374693922,4e-06,0.0083266666666666,9.8880399136196e-05,0.0054123333333333,6.423654204059669e-05,0.0465,3,73.526812626884,113.11816595710424,0.3703691108348956,0.3557428383018584,0.3687566534995325,0.3703691108348956,0.8218012329692629,lisa,0.8218012329692629
full_ft,tiny,classification,0.9122,0.0116888836079413,222.77,0.4948737212663669,13.478333333333332,0.002886751345949,1.0,0.00382,1.5620499351813347e-05,0.0024826666666666,1.0115993936995827e-05,0.0220999999999999,3,238.79574900634844,367.4273493176628,0.8289698322363472,0.8433756026676458,0.861173598675425,0.8289698322363472,0.9639089819612426,full_ft,0.9639089819612426
lisa,tiny,classification,0.5089,0.0164508358450262,182.87,2.628288416441388,4.838,0.0487749935930287,4e-06,0.0032436666666666,5.20032050294338e-05,0.0021083333333333,3.385754470326148e-05,0.0181666666666666,3,156.89030205827703,241.37537958480024,0.7141743444365699,0.5236239073942832,0.8094495629577132,0.7141743444365699,1.0052196471641084,full_ft,1.0052196471641084
