method,backbone,task,accuracy_mean,accuracy_std,wall_clock_s_mean,wall_clock_s_std,peak_mem_gb_mean,peak_mem_gb_std,trainable_pct_mean,energy_kwh_mean,energy_kwh_std,carbon_kgco2eq_mean,carbon_kgco2eq_std,cost_usd_mean,n_seeds,perf_per_kwh,perf_per_carbon
full_ft,tiny,classification,0.9122,0.011688883607941344,226.36666666666667,1.2066620626063207,13.478333333333333,0.0028867513459490926,1.0,0.003859666666666667,0.00010428966072115378,0.0025090000000000004,6.781592733274381e-05,0.022466666666666666,3,236.34159175880686,363.57099897528934
lisa,medium,classification,0.48889999999999995,0.03422908120297707,660.4033333333333,7.066911159292526,14.893,0.045033320996790936,2e-06,0.011596333333333333,8.622258018253379e-05,0.007537666666666667,5.578829028867381e-05,0.06559999999999999,3,42.15987448677388,64.8609121044206
lisa,small,classification,0.6122333333333333,0.09008309127318692,484.8766666666667,6.912483875810028,9.428666666666667,0.09565737469392209,4e-06,0.008548333333333333,0.0001113298402645645,0.005556666666666667,7.239014665915046e-05,0.04816666666666667,3,71.62019049091163,110.17994417877426
lisa,tiny,classification,0.5089,0.016450835845026244,188.42333333333332,2.5244075212479826,4.852,0.027221315177632377,4e-06,0.0033253333333333334,4.460194315647417e-05,0.0021613333333333332,2.872861523522043e-05,0.018733333333333334,3,153.03724347316256,235.4563993878473
