method,backbone,task,accuracy_mean,accuracy_std,wall_clock_s_mean,wall_clock_s_std,peak_mem_gb_mean,peak_mem_gb_std,trainable_pct_mean,energy_kwh_mean,energy_kwh_std,carbon_kgco2eq_mean,carbon_kgco2eq_std,cost_usd_mean,n_seeds,perf_per_kwh,perf_per_carbon,score_balanced,score_accuracy_first,score_carbon_constrained,score_balanced_mean,gei,gei_ref_method,gei_balanced,front_label
lisa,medium,classification,0.4888999999999999,0.034229081202977,660.4033333333333,7.066911159292526,14.893,0.0450333209967909,2e-06,0.0115963333333333,8.622258018253379e-05,0.0075376666666666,5.578829028867381e-05,0.0655999999999999,3,42.15987448677388,64.8609121044206,0.0,0.0,0.0,0.0,0.7510831428997179,lisa,0.7510831428997179,classification|medium
lisa,small,classification,0.6122333333333333,0.0900830912731869,484.8766666666667,6.912483875810028,9.428666666666668,0.095657374693922,4e-06,0.0085483333333333,0.0001113298402645,0.0055566666666666,7.239014665915046e-05,0.0481666666666666,3,71.62019049091163,110.17994417877426,0.3722195645362108,0.3567935454041839,0.3711458057136957,0.3722195645362108,0.8218012329692629,lisa,0.8218012329692629,classification|small
full_ft,tiny,classification,0.9122,0.0116888836079413,226.36666666666667,1.2066620626063207,13.478333333333332,0.002886751345949,1.0,0.0038596666666666,0.0001042896607211,0.002509,6.781592733274381e-05,0.0224666666666666,3,236.34159175880689,363.5709989752893,0.8332207072730289,0.8461476434239232,0.8664794816470791,0.8332207072730289,0.9639089819612426,full_ft,0.9639089819612426,classification|tiny
lisa,tiny,classification,0.5089,0.0164508358450262,188.4233333333333,2.5244075212479826,4.852,0.0272213151776323,4e-06,0.0033253333333333,4.460194315647417e-05,0.0021613333333333,2.872861523522043e-05,0.0187333333333333,3,153.03724347316256,235.4563993878473,0.7141743444365699,0.5236239073942832,0.8094495629577132,0.7141743444365699,0.9989100505466377,full_ft,0.9989100505466377,classification|tiny
