run_id,method,backbone,task,seed,status,mode,accuracy,metric_name,wall_clock_s,peak_mem_gb,trainable_pct,energy_kwh,carbon_kgco2eq,cost_usd
qlora_large_classification_seed42,qlora,large,classification,42,ok,measured,0.9495,accuracy,332.2,7.45,0.004324,0.00601425,0.00390926,0.033
qlora_medium_classification_seed13,qlora,medium,classification,13,ok,measured,0.9438,accuracy,191.64,8.642,0.004884,0.00339605,0.00220743,0.019
qlora_medium_classification_seed2024,qlora,medium,classification,2024,ok,measured,0.9461,accuracy,195.61,5.034,0.004884,0.00348174,0.00226313,0.0194
qlora_medium_classification_seed42,qlora,medium,classification,42,ok,measured,0.9404,accuracy,193.62,6.653,0.004884,0.00343004,0.00222953,0.0192
qlora_small_classification_seed13,qlora,small,classification,13,ok,measured,0.9358,accuracy,153.22,5.831,0.008132,0.0027257,0.00177171,0.0152
qlora_small_classification_seed2024,qlora,small,classification,2024,ok,measured,0.9358,accuracy,154.39,3.518,0.008132,0.00272738,0.0017728,0.0153
qlora_small_classification_seed42,qlora,small,classification,42,ok,measured,0.9427,accuracy,152.61,3.493,0.008132,0.00269835,0.00175393,0.0152
qlora_tiny_classification_seed13,qlora,tiny,classification,13,ok,measured,0.9025,accuracy,162.23,3.64,0.006822,0.00214066,0.00139143,0.016
qlora_tiny_classification_seed2024,qlora,tiny,classification,2024,ok,measured,0.9163,accuracy,165.03,2.879,0.006822,0.00216281,0.00140583,0.0163
qlora_tiny_classification_seed42,qlora,tiny,classification,42,ok,measured,0.9163,accuracy,164.77,2.694,0.006822,0.00213814,0.00138979,0.0163
